event_id,psychology_test_name,tarot_spread_type,astrology_feature_used,breathing_technique,sound_healing_instrument,mantra_type,yoga_level
105e3d79,,,,,,,4-7-8 breathing
1043f296,,,,,,,4-7-8 breathing
d084a3a9,,,,,,,4-7-8 breathing
379c5a59,,,,,,,4-7-8 breathing
b6d81f79,,,,,,,4-7-8 breathing
56d05544,,,,,,,4-7-8 breathing
00e6fefa,,,,,,,4-7-8 breathing
670a18f5,,,,,,,4-7-8 breathing
783f2bd5,,,,,,,4-7-8 breathing
a1d28ae8,,,,,,,4-7-8 breathing
bdceedfb,,,,,,,Gayatri mantra
71b6e622,,,,,,,Gayatri mantra
33006b87,,,,,,,Gayatri mantra
e5db3068,,,,,,,Gayatri mantra
13bfc64e,,,,,,,Gayatri mantra
01fbb616,,,,,,,Gayatri mantra
c050f0ab,,,,,,,Gayatri mantra
e5c4c218,,,,,,,Gayatri mantra
fe93a745,,,,,,,Gayatri mantra
d2b20c41,,,,,,,Gayatri mantra
56f2b08c,,,,,,,Gayatri mantra
acdb3000,,,,,,,Gayatri mantra
d84571a2,,,,,,,Gayatri mantra
b5d40a67,,,,,,,Gayatri mantra
a214204d,,,,,,,Mahamrityunjaya mantra
86c77ca6,,,,,,,Mahamrityunjaya mantra
9343c7d3,,,,,,,Mahamrityunjaya mantra
6573ed25,,,,,,,Mahamrityunjaya mantra
126fc22a,,,,,,,Mahamrityunjaya mantra
9764c497,,,,,,,Mahamrityunjaya mantra
932e2730,,,,,,,Mahamrityunjaya mantra
62f0a532,,,,,,,Mahamrityunjaya mantra
5ccaaf57,,,,,,,Mahamrityunjaya mantra
738e0310,,,,,,,Mahamrityunjaya mantra
590591ea,,,,,,,Mahamrityunjaya mantra
f22c7afe,,,,,,,Mahamrityunjaya mantra
26bc40ef,,,,,,,Mahamrityunjaya mantra
755ecf8f,,,,,,,Mahamrityunjaya mantra
41672612,,,,,,,Mahamrityunjaya mantra
6f4017f3,,,,,,,Mahamrityunjaya mantra
632594a5,,,,,,,Om chanting
00ed0867,,,,,,,Om chanting
4c5895fa,,,,,,,Om chanting
b177c991,,,,,,,Om
b177c991,,,,,,,Om chanting
b177c991,,,,,,,Om
b177c991,,,,,,,Om chanting
6b40342d,,,,,,,Om chanting
35b44655,,,,,,,Om chanting
30c355da,,,,,,,Om chanting
b0cc133d,,,,,,,Om chanting
e64e282e,,,,,,,Om chanting
20b0275f,,,,,,,Om chanting
f09bb004,,,,,,,Om chanting
d35cf0aa,,,,,,,Om chanting
66c8e387,,,,,,,Wim Hof breathing
69a90699,,,,,,,Wim Hof breathing
37553db3,,,,,,,Wim Hof breathing
5ab24bfa,,,,,,advanced,
e160ec5e,,,,,,,
6a4aad9d,,,,,,,
39b4e7c0,,,,,,,
bb4879e3,,,,,,,
17bedb83,,,,,,,
b218784e,,,,,,,
42ddd84c,,,,,,,
3a39db91,,,,,,,
322d5de2,,,,,,,
3662ba3c,,,,,,,
dde95167,,,,,,,
8c673e43,,,,,,,
dcd2d614,,,,,,,
163aa54f,,,,,,,
3c1a59e6,,,,,,,
763ff44e,,,,,,,
bd2e45bc,,,,,,,
0be84691,,,,,,,
7c153d0e,,,,,,,
e6c7ddce,,,,,,,
ce45dff3,,,,,,,
d69a183e,,,,,,,
9e8bffce,,,,,,,
dd0f74c7,,,,,,,
e37bcb4c,,,,,,,
45cd0e13,,,,,,,
c2992e26,,,,,,,
5e689e07,,,,,,,
4ae09a60,,,,,,,
81127cd2,,,,,,,
0ceb9f52,,,,,,,
bc7dd49a,,,,,,,
9c1af522,,,,,,,
d0c58c43,,,,,,,
205abd1a,,,,,,,
4f3aaa83,,,,,,,
bbe9c659,Anxiety Assessment,,,,,,
a49bafba,Anxiety Assessment,,,,,,
78702d6c,,,natal_chart,,,,
b43b78b8,,,compatibility_report,,,,
b2fd7cd1,,,,,,beginner,
8145252f,,,,,,beginner,
bfc1defd,,,,,,beginner,
7c93e29c,,,,,,beginner,
a9800e9f,,,,,,,box_breathing
133268ca,,,,,,,box_breathing
bcd4163c,,,,,,,box_breathing
9ca56eeb,,,,,,,box_breathing
6e82df16,,,,,,,box_breathing
0ab908df,,,,,,,box_breathing
de25cb9a,,,,,,,box_breathing
0f5d2a36,,,,,,,box_breathing
937722e1,,,,,,,box_breathing
140be8b5,,,,,,,box_breathing
3157a1f5,,,,,,,box_breathing
027e5522,,,,,,,box_breathing
15595c7e,,,,,,,box_breathing
73ac51b0,,,,,,,box_breathing
39d25e69,,,,,,,box_breathing
875bf76d,,,,,,,box_breathing
5b035b2c,,,,,,,box_breathing
fad1fed2,,,,,,,box_breathing
f9f72895,,,,,,,box_breathing
234f47b9,,,,,,,box_breathing
a6faa210,,,,,,,box_breathing
6263c75c,,,,,,,box_breathing
830502fb,,,,,,,box_breathing
d225c004,,,,,,,box_breathing
2f5b048f,,,,,,,box_breathing
345cb604,,,,,,,box_breathing
47e5d7f8,,,,,,,box_breathing
30e9036e,,,,,,,box_breathing
e68a2f92,,,,,,,box_breathing
378f81cc,,,,,,,box_breathing
7ec16af3,,,,,,,box_breathing
1b77ed64,,,,,,,box_breathing
6b448c61,,,,,,,box_breathing
c7f785e2,,,,,,,box_breathing
1ec1126c,,celtic_cross,,,,,
0e3f9d8c,,celtic_cross,,,,,
b1913bd7,,,compatibility_report,,,,
1e37261c,,,daily_forecast,,,,
14d28ea3,,,,,,,gong
8183aad4,,,,,,,gong
5ce6b633,,,,,,,gong
148801ad,,,,,,,gong
c4da2994,,,,,,,gong
8e05a92b,,,,,,,gong
b8686f48,,,,,,intermediate,
7fa6e6c7,,,,,,intermediate,
ffbba01f,,,,,,intermediate,
eec37408,,,,,,intermediate,
29e4f88a,,,,,,intermediate,
a89c50b6,,,,,,intermediate,
a49a577f,,,,,,intermediate,
749830d9,,,,,,,
6b4e7c37,,,,,,,
bb59c806,,,,mahamrityunjaya_mantra,protected,,
2de25033,,,,,,,mahamrityunjaya_mantra
c505ae0c,,,,,,,mahamrityunjaya_mantra
f08617c0,,,,,,,mahamrityunjaya_mantra
709445b7,,,,,,,mahamrityunjaya_mantra
d1da8831,,,,,,,
a2466c82,,,,,,,
8c2f480a,,,,,,,
c0496986,,,,,,,
6d226499,,,,,,,
8f334538,,,,,,,
6acb34a0,,,,,,,
663df467,,,,,,,
6e00c8ee,,,,,,,
f787a81a,,,,,,,
48403635,Stress Relief Meditation,,,,,,
e5cff82d,,,,,,,
4fcdb73c,,,,,,,
b61f1162,Stress Relief at Work,,,,,,
c50d9735,Evening Gratitude,,,,,,
f54755d9,Deep Relaxation Journey,,,,,,
c82a6617,,,,,,,
a665b070,,,,,,,
84b23fcb,,,,,,,
36e8f610,Body Scan Relaxation,,,,,,
10213afe,,,,,,,
24a08d7f,,,,,,,
5638116f,,,,,,,
bcd69679,,,,,,,
0ead6c3e,,,,,,,
56222b3a,,,,,,,
e6626cc2,,,,,,,
d628ace7,,,,,,,
aeac88b8,Let Go of Stress,,,,,,
3b3db2d9,,,,,,,
067bb410,,,,,,,
aca2718f,Stress Release,,,,,,
a5ce3996,,,,,,,
88a24b32,,,,,,,
43ddb0e7,,,,,,,
53a4682f,,,,,,,
a21a32c6,,,,,,,
70130cee,,,,,,,
cbc7d61e,,,,,,,
6d0473a1,,,,,,,
9b9f5881,,,,,,,
af02fae1,,,,,,,
6ff1f408,,,,,,,
3779056d,,,,,,,
22e33990,,,,,,,
6e5793a7,,,,,,,
97c30e7d,,,,,,,
f26797dc,,,,,,,
5bdbdb8b,,,,,,,
3535a065,,,,,,,
