event_id,user_id,session_id,event_time,event_date,event_name,duration_seconds,emotion_checkin_label,purchase_amount,is_premium_event,content_id
105e3d79,USR10345,SES_k4l5m6n7o8,2024-12-14 13:45:00.000000 UTC,2024-12-14,breathing_exercise,300,calm,0.0,false,c5d9
1043f296,USR10350,SES_p9q0r1s2t3,2024-12-09 19:35:00.000000 UTC,2024-12-09,breathing_exercise,600,calmer,0.0,false,7ea4
d084a3a9,USR10353,SES_s2t3u4v5w6,2024-12-06 06:55:00.000000 UTC,2024-12-06,breathing_exercise,300,refreshed,0.0,false,0f66
379c5a59,USR10366,SES_f5g6h7i8j9,2024-11-23 19:40:00.000000 UTC,2024-11-23,breathing_exercise,600,balanced,0.0,false,43fe
b6d81f79,USR10373,SES_m2n3o4p5q6,2024-11-16 12:05:00.000000 UTC,2024-11-16,breathing_exercise,600,centered,0.0,false,59d5
56d05544,USR10375,SES_o4p5q6r7s8,2024-11-14 06:35:00.000000 UTC,2024-11-14,breathing_exercise,300,alive,0.0,false,bcd5
00e6fefa,USR10387,SES_a6b7c8d9e0,2024-11-02 07:35:00.000000 UTC,2024-11-02,breathing_exercise,300,refreshed,0.0,false,4ccc
670a18f5,USR10391,SES_e0f1g2h3i4,2024-10-29 06:30:00.000000 UTC,2024-10-29,breathing_exercise,300,centered,0.0,false,1bc3
783f2bd5,USR10396,SES_j5k6l7m8n9,2024-10-24 17:40:00.000000 UTC,2024-10-24,breathing_exercise,600,grateful,0.0,false,d74d
a1d28ae8,USR10427,SES_o6p7q8r9s0,2024-09-23 06:05:00.000000 UTC,2024-09-23,breathing_exercise,300,refreshed,0.0,false,56ef
bdceedfb,USR10335,SES_w3x4y5z6a7,2024-12-25 05:35:00.000000 UTC,2024-12-25,mantra_session,900,blessed,0.0,false,6b87
71b6e622,USR10368,SES_h7i8j9k0l1,2024-11-21 21:05:00.000000 UTC,2024-11-21,mantra_session,600,mystical,0.0,false,ec4f
33006b87,USR10377,SES_q6r7s8t9u0,2024-11-12 05:05:00.000000 UTC,2024-11-12,mantra_session,900,blessed,0.0,false,afb1
e5db3068,USR10398,SES_l7m8n9o0p1,2024-10-22 20:10:00.000000 UTC,2024-10-22,mantra_session,600,blessed,0.0,false,4b5e
13bfc64e,USR10405,SES_s4t5u6v7w8,2024-10-15 06:05:00.000000 UTC,2024-10-15,mantra_session,900,blessed,0.0,false,acd3
01fbb616,USR10409,SES_w8x9y0z1a2,2024-10-11 07:00:00.000000 UTC,2024-10-11,mantra_session,300,blessed,0.0,false,5535
c050f0ab,USR10413,SES_a2b3c4d5e6,2024-10-07 06:05:00.000000 UTC,2024-10-07,mantra_session,900,blessed,0.0,false,736f
e5c4c218,USR10431,SES_s0t1u2v3w4,2024-09-19 05:35:00.000000 UTC,2024-09-19,mantra_session,900,blessed,0.0,false,5f4c
fe93a745,USR10435,SES_w4x5y6z7a8,2024-09-15 05:35:00.000000 UTC,2024-09-15,mantra_session,900,blessed,0.0,false,8169
